Converted Cost,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,ZIP,Population,Number of Evs,EV density
10.24,0.114409822,5152300,98.41591895,7,0.2025,92620,3170345,303324,0.095675392
10.24,0.114409822,7585800,98.41591895,45,0.2025,92660,3170345,303324,0.095675392
10.24,0.114409822,7585800,98.41591895,45,0.2025,92660,3170345,303324,0.095675392
6.24,0.141885665,337200,3.366540988,3,0.2025,92313,2162532,61962,0.028652524
11.76,0.114409822,6151300,98.41591895,4,0.2125,90740,3170345,303324,0.095675392
12.38,0.175577736,88300,0.323504697,2,0.1975,96051,179267,2562,0.014291532
10.5,0.180508316,446300,22.27587347,14,0.2075,92021,3323970,197012,0.05927009
10.5,0.180508316,1279200,22.27587347,25,0.2075,92054,3323970,197012,0.05927009
5,0.125722524,354000,98.41591895,2,0.2125,92860,2437864,81505,0.033432956
8.76,0.114409822,362300,3.366540988,36,0.2125,92346,2162532,61962,0.028652524
8.76,0.114409822,362300,3.366540988,36,0.2125,92346,2162532,61962,0.028652524
6.24,0.137173751,2187000,98.41591895,46,0.2175,92868,3170345,303324,0.095675392
6.24,0.114409822,1855300,98.41591895,13,0.2175,92701,3170345,303324,0.095675392
11.76,0.114409822,1675200,98.41591895,6,0.2275,90640,10040682,642677,0.064007305
11.76,0.114409822,829000,98.41591895,1,0.2275,91768,10040682,642677,0.064007305
8.76,0.114409822,1143600,98.41591895,12,0.2025,91730,2162532,61962,0.028652524
6.24,0.114409822,1798900,98.41591895,5,0.2175,92703,3170345,303324,0.095675392
7.5,0.114409822,115000,3.366540988,7,0.2125,92392,2162532,61962,0.028652524
7.5,0.114409822,6216900,98.41591895,17,0.2025,92648,3170345,303324,0.095675392
7.5,0.11685727,797800,0.309507108,1,0.2125,92253,2437864,81505,0.033432956
7.5,0.133747197,871500,3.366540988,29,0.2175,92262,2437864,81505,0.033432956
8.76,0.180508316,4789200,22.27587347,84,0.2025,92037,3323970,197012,0.05927009
7.5,0.114409822,1814500,98.41591895,4,0.2275,90242,10040682,642677,0.064007305
7.5,0.135970026,1304600,98.41591895,7,0.2275,91702,10040682,642677,0.064007305
10.24,0.114409822,9716400,98.41591895,9,0.2025,92657,3170345,303324,0.095675392
7.5,0.114409822,2954300,98.41591895,11,0.2125,92647,3170345,303324,0.095675392
7.5,0.114409822,1751400,98.41591895,5,0.2275,90805,10040682,642677,0.064007305
7.5,0.114409822,1476700,98.41591895,15,0.2275,90706,10040682,642677,0.064007305
13.76,0.114409822,934700,98.41591895,3,0.2275,91767,10040682,642677,0.064007305
8.76,0.137173751,1599500,98.41591895,3,0.2125,92841,3170345,303324,0.095675392
8.76,0.114409822,2047800,98.41591895,2,0.2125,92844,3170345,303324,0.095675392
12.38,0.195263421,730100,2.242794509,10,0.2175,95403,496801,43164,0.086883883
11.76,0.137173751,1746900,98.41591895,5,0.2025,92801,3170345,303324,0.095675392
11.76,0.114409822,1572900,98.41591895,2,0.2275,91733,10040682,642677,0.064007305
11.76,0.137173751,1734900,98.41591895,7,0.2125,92806,3170345,303324,0.095675392
6.24,0.137173751,2125000,98.41591895,4,0.22,90621,3170345,303324,0.095675392
6,0.138950817,2544100,98.41591895,96,0.2275,90802,10040682,642677,0.064007305
10,0.114409822,1222700,98.41591895,7,0.2275,91740,10040682,642677,0.064007305
10.24,0.114409822,5406300,98.41591895,211,0.2025,92618,3170345,303324,0.095675392
12.38,0.195263421,177800,33.51163594,6,0.21475,93210,990204,22285,0.022505464
5,0.178812234,2286900,82.13388047,20,0.22375,94005,765623,102569,0.133968023
5,0.183785529,8854100,125.2839303,22,0.21625,94043,1924379,332645,0.172858361
5,0.183785529,8854100,125.2839303,22,0.21625,94043,1924379,332645,0.172858361
5,0.183785529,8854100,125.2839303,22,0.21625,94043,1924379,332645,0.172858361
5.5,0.195263421,2010200,125.2839303,15,0.2225,95060,273170,23148,0.084738441
5.8,0.114047668,765500,98.41591895,3,0.2125,92880,2437864,81505,0.033432956
7,0.195263421,1728300,82.13388047,19,0.2325,94544,1661584,192172,0.115655904
6,0.195263421,1650100,82.13388047,17,0.2125,94596,1147788,102886,0.089638505
5.8,0.114047668,928700,98.41591895,8,0.2125,92882,2437864,81505,0.033432956
15.76,0.195263421,1890500,82.13388047,5,0.2125,94526,1147788,102886,0.089638505
4,0.114409822,1539600,98.41591895,3,0.23,90670,10040682,642677,0.064007305
14.7,0.114409822,3966600,98.41591895,30,0.2275,90505,10040682,642677,0.064007305
14.7,0.114409822,3081800,98.41591895,7,0.2275,90504,10040682,642677,0.064007305
14.7,0.114409822,4022400,98.41591895,20,0.2275,90503,10040682,642677,0.064007305
8,0.195263421,328700,4.185525878,4,0.2125,93446,282517,14076,0.04982355
