Converted Cost,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Density,ZIP
6.3,0.093376646,714700,50.9612937,21,0.0825,0.017220877,78723
8.5,0.088730361,485100,1.091698699,3,0.105,0.004094848,98204
2.285,0.162570715,116100,6.073066365,11,0.06,0.014885851,5672
8,0.063331162,1821400,75.3360558,3,0,0.020758269,97202
2.5,0.111040477,330800,33.16743954,13,0.055,0.002220992,53704
7,0.064530995,438200,6.710881471,15,0.101,0.007704431,98188
5,0.111956708,95600,51.50613679,3,0.07875,0.003656128,55330
8,0.095676805,736700,1.091698699,4,0.106,0.017827392,98026
12.16,0.077228413,1153700,1.091698699,3,0.1025,0.016180004,98106
6.3,0.093376646,790100,50.9612937,27,0.0825,0.042348033,78746
8.76,0.10262325,3813800,1.091698699,7,0.1025,0.028295728,98103
8.76,0.10262325,2751700,1.091698699,3,0.1025,0.035709981,98115
12.16,0.10262325,1447600,1.091698699,8,0.103,0.022314369,98125
9.24,0.107717864,184500,4.148823134,4,0.3552,0.005316645,81506
7.5,0.075319455,60500,11.00555881,2,0.06,0.000682499,49544
7.8,0.085140647,64700,50.9612937,2,0.0825,0.001971884,78155
2.5,0.111040477,371900,33.16743954,5,0.055,0.002782647,53711
8.6,0.085922147,241000,50.9612937,2,0.0825,0.009804653,78747
6,0.116861707,84800,25.78053272,1,0.055,0.000266672,53225
10,0.106695173,120700,38.06365634,2,0.06625,0.00518511,8234
2.76,0.099022919,260300,0.966105849,7,0.359,0.009600229,81631
7.8,0.085140647,64700,50.9612937,2,0.0825,0.001971884,78155
2.5,0.113598355,963000,33.16743954,18,0.055,0.002785805,53703
10.24,0.075319455,192400,11.00555881,3,0.06,0.007930823,49453
4,0.095676805,736700,1.091698699,4,0.106,0.017827392,98026
9.5,0.118173721,55100,5.678995619,2,0.07875,0.001663769,55767
6.24,0.105494482,349600,5.557113287,5,0.35,0.024498664,80403
8.76,0.10262325,3813800,1.091698699,7,0.1025,0.028295728,98103
4,0.116861707,74100,25.78053272,3,0.055,0.000403676,53208
7.5,0.068823414,211900,155.9473625,4,0.06,0.005559498,48108
8.76,0.077228413,1351100,1.091698699,5,0.1025,0.014842648,98108
8.6,0.093774721,57700,5.221776845,6,0.0825,0.002723865,78028
6.24,0.064730195,91300,10.07980997,21,0.28,0.006743397,12302
6.3,0.093376646,1509600,50.9612937,31,0.0825,0.030816191,78702
5.4,0.068011087,143400,6.582176041,4,0,0.003320594,97368
5.4,0.068011087,143400,6.582176041,4,0,0.003320594,97368
3.5,0.109909298,453400,3.817319319,4,0.354,0.017299847,81623
9.76,0.065936363,52300,34.97616825,5,0.28,0.002347631,14701
12.5,0.099560776,626300,3.817319319,7,0.364,0.012827242,81224
18.76,0.101793962,667300,0.966105849,3,0.364,0.015464421,81632
9,0.095652483,43600,5.487555446,4,0.06,0.000591807,49601
6.3,0.093376646,714700,50.9612937,21,0.0825,0.017220877,78723
