Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Converted Cost
-0.639255804,-0.495396622,-0.639230746,-0.038873284,-0.835605838,-0.822914304
-0.639255804,-0.51328362,3.028293259,-0.324794988,-0.835605838,0.103518839
-0.639255804,-0.260937312,-0.402594923,0.328740336,-0.835605838,-0.218159336
-0.639255804,-0.363671184,-0.402594923,0.165356505,-0.835605838,-0.700676597
-0.173927155,-0.423715642,-0.069423049,-0.243103072,-0.835605838,-0.94515201
0.109252843,-0.236400872,-0.069423049,-0.243103072,-0.751986658,-0.700676597
0.109252843,-0.361144397,-0.069423049,0.247048421,-0.751986658,-1.183193859
0.224108933,-0.444395405,-0.402594923,-0.324794988,-1.532432343,-1.022354772
-0.619641026,-0.444262417,-0.402594923,-0.161411157,-0.919225019,0.746875188
-0.619641026,-0.515743914,-0.632587859,-0.28394903,-0.919225019,0.746875188
-0.619641026,-0.538817476,-0.632587859,-0.28394903,-0.919225019,0.746875188
-0.941317518,-0.54174323,-0.762495115,-0.28394903,-0.919225019,0.746875188
-0.619641026,-0.540812309,-0.773586848,-0.28394903,-0.919225019,0.746875188
-0.619641026,-0.542474669,-0.762495115,-0.243103072,-0.919225019,0.746875188
1.292351048,-0.492736846,-0.664057641,0.042818632,-0.863478898,-1.895711016
1.93512738,-0.520265534,-0.664057641,-0.079719241,-0.863478898,0.187155164
-0.238015269,-0.489678103,-0.085969375,-0.324794988,-0.793796248,0.586036101
-1.003667318,0.261043854,8.460254513,-0.324794988,-0.793796248,-1.183193859
-0.873642808,-0.04363356,1.807611417,-0.28394903,-0.793796248,-1.183193859
0.865500153,1.192098667,1.807611417,-0.243103072,1.68690611,-0.218159336
0.865500153,2.579770634,1.807611417,-0.324794988,1.68690611,-0.218159336
0.225682463,-0.379297372,0.756658846,0.001972674,1.65903305,0.264357926
0.225682463,0.398288328,0.237586913,-0.365640946,1.65903305,0.264357926
-1.387387375,-0.509227461,-0.591653492,0.451278209,1.589350399,-0.623473836
-0.644796813,-0.484691021,-0.11681947,-0.324794988,1.631159989,0.264357926
-1.354351837,-0.535160283,-0.141762052,-0.202257115,1.589350399,0.508833339
-1.388704026,-0.350771268,5.685062909,-0.365640946,-0.863478898,-0.378998423
-1.388704026,-0.431428994,1.605621499,-0.161411157,-0.863478898,-0.218159336
-0.579260005,-0.410616242,1.605621499,-0.365640946,-1.532432343,-0.893683502
-0.647601383,-0.481831762,-0.085969375,-0.243103072,-1.532432343,-0.378998423
-0.844106499,-0.526848481,-0.085969375,-0.28394903,-1.532432343,-0.378998423
-0.844106499,-0.540014376,1.628834485,-0.324794988,-1.532432343,-0.378998423
-0.624324271,-0.499519276,-0.085969375,-0.243103072,-1.532432343,-0.378998423
-0.844106499,-0.464210741,1.628834485,-0.28394903,-1.532432343,-0.378998423
-1.15591401,-0.248303373,1.293291829,-0.324794988,-0.863478898,1.023518418
-1.021882814,0.125328751,1.293291829,-0.202257115,-0.863478898,0.978483474
-1.15591401,-0.298373668,1.628834485,-0.202257115,-0.863478898,0.978483474
-1.15591401,-0.411547164,1.628834485,-0.324794988,-0.863478898,-0.378998423
-1.195836437,-0.452374735,-0.556164959,-0.243103072,-0.863478898,-0.13452301
-1.104730447,-0.480634862,-0.532197963,-0.161411157,-0.863478898,0.978483474
-1.195836437,-0.536955632,-0.532197963,-0.28394903,-0.863478898,-0.13452301
-2.005718382,0.452547772,1.293291829,-0.365640946,-0.863478898,-1.826550209
