Converted Cost,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Average
4.955,0.065384084,576500,73.70362386,13,0.1,7.462823413
6.5,0.268402289,877500,29.36939049,2,0.045,7.462823413
0.5,0.195263421,307700,1.460718582,14,0.2085,7.462823413
3,0.103032163,487300,5.557113287,30,0.35515,7.462823413
7,0.063331162,675300,75.3360558,7,0,7.462823413
7,0.063331162,661400,75.3360558,18,0,7.462823413
7,0.07185572,269400,75.3360558,12,0,7.462823413
4.955,0.082095906,555600,142.8517489,19,0.06625,7.462823413
4.955,0.082095906,555600,142.8517489,19,0.06625,7.462823413
4.955,0.082095906,555600,142.8517489,19,0.06625,7.462823413
6.3,0.093376646,714700,50.9612937,22,0.0825,7.462823413
7.5,0.060419656,122200,0.948256737,10,0,7.462823413
7.5,0.060419656,608200,5.762458356,16,0,7.462823413
7.5,0.03197811,217200,1.852870041,14,0.086,7.462823413
7.5,0.082179072,91300,152.6304148,5,0.082,7.462823413
7.5,0.089063381,70200,18.38059985,1,0.091,7.462823413
7.5,0.06567327,293200,6.978435468,4,0,7.462823413
7.5,0.084898915,46600,8.394904991,1,0.08,7.462823413
7.5,0.064530995,217200,0.69598716,4,0.086,7.462823413
7.5,0.075847507,216800,8.394904991,20,0.086,7.462823413
7.5,0.092939549,357200,6.582176041,5,0,7.462823413
7.5,0.063310113,122500,0.300275621,3,0.087,7.462823413
7.5,0.055299219,78300,0.948256737,1,0,7.462823413
1.5,0.102688469,133000,44.12077763,3,0.06,7.462823413
4.5,0.105916445,159200,16.85175787,6,0.0775,7.462823413
4.5,0.195263421,3425200,82.13388047,83,0.2325,7.462823413
5.4,0.094235911,239600,131.6739115,4,0,7.462823413
6.5,0.268402289,1791900,14.85184816,4,0.045,7.462823413
7,0.064682123,329600,357.4244502,1,0.06,7.462823413
3,0.060419656,203600,5.762458356,5,0,7.462823413
3,0.060419656,134800,0.948256737,6,0,7.462823413
3,0.060419656,129500,0.948256737,4,0,7.462823413
4.025,0.075628391,424100,114.3900277,4,0.06,7.462823413
4.02,0.063331162,2279800,8.394904991,20,0,7.462823413
7.5,0.101667525,132600,16.85175787,4,0.07,7.462823413
7.5,0.073171465,109500,6.978435468,2,0,7.462823413
7.5,0.063910523,115900,6.978435468,5,0,7.462823413
7.5,0.077431201,96800,4.146496511,1,0,7.462823413
7.5,0.091896325,228800,2.798756518,4,0,7.462823413
7.5,0.069254379,428800,0.525691272,14,0,7.462823413
7.5,0.064530995,258100,152.6304148,22,0.095,7.462823413
7.5,0.063310113,209600,0.300275621,12,0.085,7.462823413
7.5,0.098675084,223000,2.798756518,2,0,7.462823413
7.5,0.088730361,193200,1.091698699,1,0.091,7.462823413
7.5,0.060419656,166400,4.089554527,4,0,7.462823413
7.5,0.063331162,350800,75.3360558,10,0,7.462823413
7.5,0.063331162,236700,8.394904991,3,0,7.462823413
7.5,0.087204014,182700,18.26424166,6,0,7.462823413
7.5,0.070140361,187500,8.394904991,3,0,7.462823413
7.5,0.065140518,311800,75.3360558,9,0,7.462823413
7.5,0.073171465,110500,2.798756518,7,0,7.462823413
7.5,0.063331162,188800,2.798756518,1,0,7.462823413
7.5,0.073171465,428000,6.582176041,5,0,7.462823413
7.5,0.060419656,154400,0.525691272,1,0,7.462823413
7.5,0.092939549,315400,18.26424166,3,0,7.462823413
7.5,0.076599766,157900,18.26424166,4,0,7.462823413
7.5,0.073171465,250100,75.3360558,1,0,7.462823413
7.5,0.062501411,153200,3.319204644,4,0.081,7.462823413
7.5,0.064530995,556600,3.319204644,2,0.087,7.462823413
7.5,0.071479329,129700,6.978435468,1,0,7.462823413
7.5,0.069952091,164600,4.089554527,9,0,7.462823413
7.5,0.060419656,1411000,4.089554527,6,0,7.462823413
7.5,0.080083083,120600,3.63622106,7,0,7.462823413
7.5,0.060419656,216400,75.3360558,4,0,7.462823413
7.5,0.067140518,221000,0.467938139,6,0,7.462823413
7.5,0.0596781,85000,8.394904991,3,0,7.462823413
7.5,0.069254379,182600,6.158179141,5,0,7.462823413
7.5,0.061875409,1752300,2.798756518,1,0,7.462823413
4.955,0.082095906,555600,142.8517489,19,0.06625,7.462823413
10,0.067140518,60400,0.327403112,9,0,7.462823413
5.3,0.083487636,1493900,142.8517489,2,0.06625,7.462823413
4.5,0.078740283,1249700,510.9996427,2,0.06625,7.462823413
3.6,0.063331162,620300,8.394904991,9,0,7.462823413
8.5,0.088730361,485100,1.091698699,7,0.105,7.462823413
4,0.08295205,115100,15.6364057,2,0.075,7.462823413
7.5,0.099352499,80300,16.85175787,58,0.085,7.462823413
7.5,0.103309392,55700,44.12077763,2,0.07,7.462823413
7.5,0.095755375,43600,17.41202737,12,0.08,7.462823413
7.5,0.067140518,60400,0.327403112,9,0,7.462823413
7.5,0.112289004,129100,3.63622106,2,0,7.462823413
7.5,0.063331162,287600,75.3360558,8,0,7.462823413
7.5,0.077709439,186400,3.422110246,2,0,7.462823413
10,0.154836621,212500,0.725604855,6,0.2075,7.462823413
2.285,0.162570715,116100,6.073066365,15,0.06,7.462823413
7.5,0.110610408,43000,27.16871012,3,0.08,7.462823413
7.5,0.099352499,80300,16.85175787,58,0.085,7.462823413
8,0.063331162,1821400,75.3360558,7,0,7.462823413
7.5,0.107948115,20000,44.12077763,2,0.08,7.462823413
7,0.091740684,132500,38.06365634,6,0,7.462823413
7.5,0.096434844,327900,16.85175787,5,0.085,7.462823413
7.6,0.348054661,1645200,0.283095138,12,0.04,7.462823413
7,0.09259056,105900,38.06365634,5,0,7.462823413
7.22,0.087868273,89600,1.604917942,9,0.102,7.462823413
4,0.095443109,105900,15.6364057,2,0.07,7.462823413
2.5,0.111040477,330800,33.16743954,16,0.055,7.462823413
7,0.084566043,45000,132.9584854,2,0,7.462823413
7,0.084566043,159000,132.9584854,5,0,7.462823413
7,0.064530995,438200,6.710881471,32,0.101,7.462823413
24,0.185352481,6534000,125.2839303,258,0.21625,7.462823413
5,0.111956708,95600,51.50613679,4,0.07875,7.462823413
6.5,0.268402289,3770600,29.36939049,13,0.045,7.462823413
8,0.095676805,736700,1.091698699,5,0.106,7.462823413
4,0.154836621,1786800,29.90235838,13,0.2125,7.462823413
13.8,0.180508316,1005100,22.27587347,11,0.2125,7.462823413
11.8,0.180508316,1948700,22.27587347,26,0.2025,7.462823413
11.8,0.195263421,1010000,82.13388047,24,0.2225,7.462823413
11.8,0.063331162,656500,75.3360558,5,0,7.462823413
9.8,0.064530995,194900,18.38059985,6,0.092,7.462823413
11.8,0.063331162,225900,2.798756518,4,0,7.462823413
13.8,0.195263421,892000,57.11757781,19,0.22,7.462823413
11.8,0.195263421,2693600,82.13388047,72,0.2325,7.462823413
9.8,0.065029032,104800,56.5797172,1,0.07,7.462823413
11.8,0.064530995,389100,6.710881471,9,0.101,7.462823413
11.8,0.062541613,85300,131.6739115,2,0.06,7.462823413
13.8,0.195263421,3445500,82.13388047,141,0.22375,7.462823413
11.8,0.073501267,187200,18.38059985,4,0.092,7.462823413
11.8,0.07185572,264100,75.3360558,30,0,7.462823413
9.8,0.064682123,311600,357.4244502,15,0.06,7.462823413
9.8,0.064530995,1093500,1.091698699,47,0.102,7.462823413
11.8,0.075847507,373300,8.394904991,2,0.085,7.462823413
11.8,0.077228413,1160700,1.091698699,15,0.102,7.462823413
11.8,0.063331162,661400,75.3360558,18,0,7.462823413
11.8,0.10262325,1447600,1.091698699,17,0.103,7.462823413
11.8,0.064530995,346200,6.710881471,3,0.101,7.462823413
11.8,0.064682123,5673300,357.4244502,3,0.08,7.462823413
11.8,0.074130052,327100,6.710881471,3,0.103,7.462823413
12.16,0.077228413,1153700,1.091698699,4,0.1025,7.462823413
6.3,0.093376646,790100,50.9612937,30,0.0825,7.462823413
8.5,0.140257487,701700,26.1408422,21,0.075,7.462823413
8.76,0.10262325,3813800,1.091698699,7,0.1025,7.462823413
13.95,0.104944077,428000,9.403317264,2,0.07525,7.462823413
13.95,0.104944077,207300,9.403317264,4,0.07525,7.462823413
13.95,0.104944077,179600,9.403317264,4,0.07375,7.462823413
13.95,0.104944077,251100,9.403317264,1,0.07375,7.462823413
13.95,0.104944077,830200,9.403317264,15,0.08025,7.462823413
13.95,0.108964645,150100,9.403317264,1,0.07375,7.462823413
13.95,0.130433738,66500,5.678995619,2,0.07375,7.462823413
7,0.135970026,1304600,98.41591895,12,0.2275,7.462823413
5.8,0.114409822,230700,3.366540988,4,0.2025,7.462823413
5.6,0.170640488,2794100,98.41591895,19,0.2275,7.462823413
4.95,0.17875461,2838600,3.606238302,108,0.2125,7.462823413
4.95,0.145736987,2370300,3.606238302,8,0.2125,7.462823413
4.95,0.145736987,555700,8.439481531,9,0.2125,7.462823413
7.35,0.098327088,27500,3.862380282,1,0.081,7.462823413
6,0.103575865,126800,51.50613679,2,0.07375,7.462823413
7.35,0.086720603,299600,1.259297861,15,0.09,7.462823413
9,0.118173721,52900,5.678995619,1,0.07375,7.462823413
6.6,0.10262325,2808300,1.091698699,3,0.1025,7.462823413
10.5,0.077906037,106800,1.848842493,1,0.087,7.462823413
10.5,0.055994971,116200,1.852870041,6,0.084,7.462823413
2,0.107717864,199000,4.148823134,19,0.3552,7.462823413
5,0.114409822,840000,98.41591895,6,0.22,7.462823413
10.6,0.065811576,296600,25.64702038,1,0.08517,7.462823413
3.5,0.079560163,99900,41.82299639,11,0.06,7.462823413
1,0.0796155,102900,85.27706923,7,0.07,7.462823413
8.76,0.10262325,2751700,1.091698699,6,0.1025,7.462823413
9.8,0.348054661,1070600,14.82624281,20,0.04,7.462823413
10.5,0.069264738,99400,1.852870041,7,0.083,7.462823413
10.5,0.083149759,132300,1.848842493,5,0.087,7.462823413
7.35,0.098327088,144600,1.259297861,2,0.09,7.462823413
2,0.100691729,70600,34.08250314,9,0.06,7.462823413
11.22,0.07318157,408400,132.9584854,7,0.06,7.462823413
12.16,0.10262325,1447600,1.091698699,17,0.103,7.462823413
9,0.105507761,147600,1.336549197,1,0.07375,7.462823413
5.6,0.170640488,2794100,98.41591895,19,0.2275,7.462823413
10,0.122014152,134000,32.93921337,3,0.0635,7.462823413
3,0.10797688,66200,44.12077763,6,0.0775,7.462823413
11.22,0.078075212,1045600,114.3900277,11,0.06,7.462823413
10.8,0.348054661,292800,0.283095138,1,0.04,7.462823413
11.22,0.075050344,134300,13.36999514,15,0.06,7.462823413
2.5,0.114409822,5152300,98.41591895,10,0.2025,7.462823413
2.5,0.114409822,5406300,98.41591895,233,0.2025,7.462823413
2.5,0.114409822,9716400,98.41591895,14,0.2025,7.462823413
2.5,0.114409822,9716400,98.41591895,14,0.2025,7.462823413
10.8,0.097173014,1088100,44.98349289,46,0.07,7.462823413
9.24,0.107717864,184500,4.148823134,5,0.3552,7.462823413
10.2,0.348754669,70800,3.972616372,1,0.045,7.462823413
7.5,0.096434844,875700,16.85175787,10,0.085,7.462823413
7.5,0.075319455,60500,11.00555881,6,0.06,7.462823413
1,0.108499699,232900,26.1408422,19,0.075,7.462823413
3,0.083487636,1030300,142.8517489,3,0.06625,7.462823413
3,0.112406,256200,38.99804321,3,0.0825,7.462823413
7.5,0.096434844,127800,14.80660815,8,0.07,7.462823413
4.5,0.140766551,74900,7.200530443,16,0.0725,7.462823413
16.4,0.085140647,64700,50.9612937,3,0.0825,7.462823413
2.5,0.111040477,371900,33.16743954,7,0.055,7.462823413
8.6,0.081112542,217600,0.215510534,12,0.0885,7.462823413
8.6,0.089794183,117600,50.9612937,4,0.0825,7.462823413
4,0.083487636,225200,357.4244502,1,0.06625,7.462823413
7.35,0.086720603,299600,1.259297861,15,0.09,7.462823413
3.1,0.110302711,181500,10.00307852,1,0.0825,7.462823413
10,0.11685727,774300,0.309507108,8,0.2125,7.462823413
5,0.076730792,41400,30.71512976,6,0.0685,7.462823413
5,0.086698698,76800,38.99804321,3,0.0825,7.462823413
3.5,0.120236532,69100,2.237208952,1,0.365,7.462823413
8.6,0.085922147,241000,50.9612937,3,0.0825,7.462823413
5,0.111335941,833700,0.196316401,14,0.354,7.462823413
7.35,0.070976874,79500,8.394904991,1,0,7.462823413
7.35,0.0596781,85000,8.394904991,3,0,7.462823413
8.6,0.108606471,60100,13.64114657,5,0.08,7.462823413
10.8,0.268402289,1386000,15.33205443,1,0.045,7.462823413
3.18,0.106844523,150500,11.99824386,7,0.07,7.462823413
1.32,0.092761551,189000,20.54204472,14,0.055,7.462823413
1.32,0.092761551,189000,20.54204472,14,0.055,7.462823413
1.8,0.073055022,218900,0.208368357,7,0.06,7.462823413
10.24,0.114409822,5152300,98.41591895,10,0.2025,7.462823413
6,0.116861707,84800,25.78053272,1,0.055,7.462823413
2.88,0.081570418,286200,16.54254265,4,0.065,7.462823413
3,0.099541232,135700,53.79401355,3,0.07,7.462823413
1.56,0.081570418,319700,69.76013412,12,0.07,7.462823413
3,0.088901474,96200,64.998739,17,0.07,7.462823413
1.62,0.105092691,416800,5.557113287,36,0.35,7.462823413
10,0.106695173,120700,38.06365634,7,0.06625,7.462823413
7.24,0.094610158,51800,39.08764145,8,0.096,7.462823413
1.56,0.101637511,163800,39.08764145,16,0.11475,7.462823413
4.5,0.083487636,701600,142.8517489,3,0.06625,7.462823413
