Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Converted Cost
0.092045391,112100,7.446951751,9,0.0625,5.62
0.092045391,85200,210.4025618,2,0.0625,8.5
0.092045391,464700,20.54204472,18,0.0625,7.5
0.092045391,310200,20.54204472,14,0.0625,6
0.109035108,219900,38.97930673,4,0.0625,5.24
0.119374356,501600,38.97930673,4,0.07,6
0.119374356,314000,38.97930673,16,0.07,4.5
0.123567892,188800,20.54204472,2,0,5
0.092761551,189000,20.54204472,6,0.055,10.5
0.092761551,81500,7.814559776,3,0.055,10.5
0.092761551,46800,7.814559776,3,0.055,10.5
0.08101675,42400,0.62567528,3,0.055,10.5
0.092761551,43800,0.011874446,3,0.055,10.5
0.092761551,41300,0.62567528,4,0.055,10.5
0.162570715,116100,6.073066365,11,0.06,2.285
0.186039263,74700,6.073066365,8,0.06,8.76
0.106695173,120700,38.06365634,2,0.06625,10
0.078740283,1249700,510.9996427,2,0.06625,4.5
0.083487636,791500,142.8517489,3,0.06625,4.5
0.146985868,2649900,142.8517489,4,0.28875,7.5
0.146985868,4736800,142.8517489,2,0.28875,7.5
0.123625343,286700,84.69351463,10,0.28625,9
0.123625343,1456100,55.96880535,1,0.28625,9
0.064730195,91300,10.07980997,21,0.28,6.24
0.091843083,128200,36.35645556,2,0.28375,9
0.065936363,52300,34.97616825,5,0.28,9.76
0.064682123,329600,357.4244502,1,0.06,7
0.064682123,208300,131.6739115,6,0.06,7.5
0.094235911,239600,131.6739115,1,0,5.4
0.091740684,132500,38.06365634,4,0,7
0.084566043,64800,38.06365634,3,0,7
0.084566043,45000,132.9584854,2,0,7
0.09259056,105900,38.06365634,4,0,7
0.084566043,159000,132.9584854,3,0,7
0.07318157,483700,114.3900277,2,0.06,11.36
0.078075212,1045600,114.3900277,5,0.06,11.22
0.07318157,408400,132.9584854,5,0.06,11.22
0.07318157,238200,132.9584854,2,0.06,7
0.071723954,176800,12.04369536,4,0.06,7.76
0.075050344,134300,13.36999514,6,0.06,11.22
0.071723954,49600,13.36999514,3,0.06,7.76
0.042154176,1537700,114.3900277,1,0.06,2.5
0.042154176,276700,21.29446829,2,0.07,7.5
0.098281698,16900,22.19496383,4,0.07,6.76
0.090454641,39500,28.10345702,3,0.07,6.76
0.109115528,19800,5.313019067,1,0.07,7.24
0.109717862,18200,5.313019067,2,0.07,7.5
0.113314199,380200,0.684724588,1,0.0675,6.76
0.092302989,175300,64.998739,6,0.0725,7.24
0.093302491,40300,19.13490998,1,0.07,6.76
0.101667525,244700,16.85175787,4,0.0775,7.5
0.096434844,693100,16.85175787,9,0.085,7.5
0.096045946,47600,16.85175787,2,0.08,7.5
0.101667525,132600,16.85175787,2,0.07,7.5
0.105424564,131900,16.85175787,2,0.08,7.5
0.107948115,20000,44.12077763,2,0.08,7.5
0.107948115,39500,44.12077763,4,0.07,7.5
0.111594191,30000,44.12077763,3,0.07,7.5
0.096434844,31500,44.12077763,2,0.07,7.5
0.103309392,55700,44.12077763,2,0.07,7.5
0.095755375,43600,17.41202737,5,0.08,7.5
0.10797688,66200,44.12077763,4,0.0775,7.5
0.096434844,875700,16.85175787,9,0.085,7.5
0.103100803,163500,16.85175787,9,0.085,7.5
0.096434844,327900,16.85175787,2,0.085,7.5
0.096434844,687900,16.85175787,5,0.085,7.5
0.096434844,728300,16.85175787,39,0.085,6.25
0.099352499,80300,16.85175787,56,0.085,7.5
0.105388038,34700,10.48414499,2,0.08,7.5
0.105424564,88400,16.85175787,2,0.07,7.5
0.141652397,57300,18.74100907,2,0.08,7.5
0.107806284,95900,27.16871012,2,0.07,8.02
0.110610408,43000,27.16871012,2,0.08,7.5
0.096434844,21500,16.00261293,2,0.07,7.5
0.096434844,102300,16.69844007,3,0.08,7.5
0.116953149,60200,12.23256565,2,0.08,7.5
0.110968167,41900,17.41202737,2,0.08,7.5
0.095804539,41000,17.41202737,5,0.08,7.5
0.096434844,127800,14.80660815,4,0.07,7.5
0.096434844,144600,14.80660815,1,0.08,7.5
0.104620664,31200,9.622313054,2,0.07,7.5
0.111819999,30800,4.30984349,3,0.08,7.5
0.121723811,77500,135.1326306,5,0.09,7.5
0.12128537,53600,12.04169044,2,0.09,7.5
0.081570418,452900,69.76013412,12,0.07,7.5
0.118791977,42900,19.58558683,4,0.07,7.5
0.08558298,218200,8.720787592,16,0.065,7.5
0.116479135,20000,15.66438974,10,0.075,7.5
0.121189909,51200,6.112925097,2,0.1,1.9
