,Converted Cost,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,EV density,ZIP
0,10.24,0.1144098215,5152300.0,98.41591895,7.0,0.2025,0.12489109435963483,92620.0
1,10.24,0.1144098215,7585800.0,98.41591895,45.0,0.2025,0.12489109435963483,92660.0
2,10.24,0.1144098215,7585800.0,98.41591895,45.0,0.2025,0.12489109435963483,92660.0
3,11.12,0.1144098215,76350.0,1.850682973,5.0,0.2025,0.0,92309.0
4,11.76,0.1144098215,6151300.0,98.41591895,4.0,0.2125,0.12489109435963483,90740.0
5,12.38,0.17557773633333332,88300.0,0.323504697,2.0,0.1975,0.030168860837003368,96051.0
6,10.5,0.180508316,446300.0,22.27587347,14.0,0.2075,0.0,92021.0
7,10.5,0.180508316,1279200.0,22.27587347,25.0,0.2075,0.0,92054.0
8,5.0,0.1257225242,354000.0,98.41591895,2.0,0.2125,0.07438067060783989,92860.0
9,11.24,0.17557773633333332,191950.0,3.422110246,2.0,0.2075,0.0,95548.0
10,8.76,0.1144098215,362300.0,3.366540988,36.0,0.2125,0.0,92346.0
11,8.76,0.1144098215,362300.0,3.366540988,36.0,0.2125,0.0,92346.0
12,6.24,0.13717375133333332,2187000.0,98.41591895,46.0,0.2175,0.12489109435963483,92868.0
13,6.24,0.1144098215,1855300.0,98.41591895,13.0,0.2175,0.12489109435963483,92701.0
14,11.76,0.1144098215,1675200.0,98.41591895,6.0,0.2275,0.0,90640.0
15,11.76,0.1144098215,829000.0,98.41591895,1.0,0.2275,0.0,91768.0
16,8.76,0.1144098215,1143600.0,98.41591895,12.0,0.2025,0.0,91730.0
17,6.24,0.1144098215,1798900.0,98.41591895,5.0,0.2175,0.12489109435963483,92703.0
18,7.5,0.1144098215,115000.0,3.366540988,7.0,0.2125,0.0,92392.0
19,7.5,0.1144098215,6216900.0,98.41591895,17.0,0.2025,0.12489109435963483,92648.0
20,7.5,0.11685726966666665,797800.0,0.309507108,1.0,0.2125,0.07438067060783989,92253.0
21,7.5,0.13374719733333332,871500.0,3.366540988,29.0,0.2175,0.07438067060783989,92262.0
22,8.76,0.180508316,4789200.0,22.27587347,84.0,0.2025,0.0,92037.0
23,7.5,0.1144098215,1814500.0,98.41591895,4.0,0.2275,0.0,90242.0
24,7.5,0.13597002633333333,1304600.0,98.41591895,7.0,0.2275,0.0,91702.0
25,10.24,0.1144098215,9716400.0,98.41591895,9.0,0.2025,0.12489109435963483,92657.0
26,7.5,0.1144098215,2954300.0,98.41591895,11.0,0.2125,0.12489109435963483,92647.0
27,7.5,0.1144098215,1751400.0,98.41591895,5.0,0.2275,0.0,90805.0
28,7.5,0.1144098215,1476700.0,98.41591895,15.0,0.2275,0.0,90706.0
29,13.76,0.1144098215,934700.0,98.41591895,3.0,0.2275,0.0,91767.0
30,8.76,0.13717375133333332,1599500.0,98.41591895,3.0,0.2125,0.12489109435963483,92841.0
31,8.76,0.1144098215,2047800.0,98.41591895,2.0,0.2125,0.12489109435963483,92844.0
32,12.38,0.19526342149999998,730100.0,2.242794509,10.0,0.2175,0.17830432438796184,95403.0
33,11.76,0.13717375133333332,1746900.0,98.41591895,5.0,0.2025,0.12489109435963483,92801.0
34,11.76,0.1144098215,1572900.0,98.41591895,2.0,0.2275,0.0,91733.0
35,11.76,0.13717375133333332,1734900.0,98.41591895,7.0,0.2125,0.12489109435963483,92806.0
36,6.24,0.13717375133333332,2125000.0,98.41591895,4.0,0.22,0.12489109435963483,90621.0
37,12.38,0.19526342149999998,94000.0,0.936966917,3.0,0.20375,0.09192305496889092,95454.0
38,12.38,0.19526342149999998,94000.0,0.936966917,3.0,0.20375,0.09192305496889092,95454.0
39,6.0,0.13895081666666664,2544100.0,98.41591895,96.0,0.2275,0.0,90802.0
40,10.0,0.1144098215,1222700.0,98.41591895,7.0,0.2275,0.0,91740.0
41,10.24,0.1144098215,5406300.0,98.41591895,211.0,0.2025,0.12489109435963483,92618.0
42,12.38,0.19526342149999998,177800.0,33.51163594,6.0,0.21475,0.04766335151320714,93210.0
43,5.0,0.17881223400000001,2286900.0,82.13388047,20.0,0.22375,0.0,94005.0
44,5.0,0.18378552866666667,8854100.0,125.2839303,22.0,0.21625,0.0,94043.0
45,5.0,0.18378552866666667,8854100.0,125.2839303,22.0,0.21625,0.0,94043.0
46,5.0,0.18378552866666667,8854100.0,125.2839303,22.0,0.21625,0.0,94043.0
47,5.5,0.19526342149999998,2010200.0,125.2839303,15.0,0.2225,0.0,95060.0
48,5.8,0.11404766799999999,765500.0,98.41591895,3.0,0.2125,0.07438067060783989,92880.0
49,7.0,0.19526342149999998,1728300.0,82.13388047,19.0,0.2325,0.2535724017082345,94544.0
50,6.0,0.19526342149999998,1650100.0,82.13388047,17.0,0.2125,0.0,94596.0
51,5.8,0.11404766799999999,928700.0,98.41591895,8.0,0.2125,0.07438067060783989,92882.0
52,15.76,0.19526342149999998,1890500.0,82.13388047,5.0,0.2125,0.0,94526.0
53,4.0,0.1144098215,1539600.0,98.41591895,3.0,0.23,0.0,90670.0
54,14.7,0.1144098215,3966600.0,98.41591895,30.0,0.2275,0.0,90505.0
55,14.7,0.1144098215,3081800.0,98.41591895,7.0,0.2275,0.0,90504.0
56,14.7,0.1144098215,4022400.0,98.41591895,20.0,0.2275,0.0,90503.0
57,8.0,0.19526342149999998,328700.0,4.185525878,4.0,0.2125,0.0,93446.0
58,8.0,0.13717375133333332,1916800.0,98.41591895,32.0,0.2125,0.12489109435963483,92831.0
59,12.38,0.19526342149999998,141400.0,1.460718582,2.0,0.2125,0.028688034244845326,93610.0
60,7.5,0.14745906875,259050.0,3.366540988,3.0,0.2025,0.07438067060783989,92539.0
61,12.38,0.19526342149999998,266100.0,17.01596331,4.0,0.2125,0.025101873209605358,93635.0
62,12.38,0.19526342149999998,271200.0,21.08842976,2.0,0.1975,0.0,95735.0
63,20.64,0.1789169863333333,497000.0,21.08842976,7.0,0.2075,0.07408400271903035,96161.0
64,6.0,0.1144098215,1595000.0,98.41591895,9.0,0.2275,0.12489109435963483,90631.0
65,6.24,0.19526342149999998,2513300.0,82.13388047,20.0,0.2275,0.2535724017082345,94568.0
66,6.24,0.136206366,40100.0,5.762458356,4.0,0.2025,0.01694474539544962,96097.0
67,9.9,0.11685726966666665,329500.0,0.309507108,14.0,0.2125,0.07438067060783989,92201.0
68,4.76,0.19526342149999998,4145300.0,125.2839303,4.0,0.21875,0.0,95118.0
69,13.36,0.1144098215,209800.0,3.366540988,6.0,0.2025,0.07438067060783989,92223.0
70,14.62,0.19526342149999998,1313600.0,125.2839303,11.0,0.2175,0.06374211229216417,93933.0
71,8.76,0.145736987,333800.0,3.606238302,5.0,0.2125,0.0821099383756656,95815.0
72,14.62,0.19526342149999998,735600.0,17.01596331,8.0,0.2175,0.0,95023.0
73,9.24,0.19526342149999998,113100.0,1.460718582,3.0,0.2085,0.04766335151320714,93706.0
74,6.76,0.13585217825,348100.0,3.366540988,6.0,0.2125,0.07438067060783989,92553.0
75,9.9,0.1789169863333333,600800.0,21.08842976,8.0,0.2125,0.0,96150.0
76,11.12,0.1257225242,791600.0,98.41591895,8.0,0.2125,0.07438067060783989,92879.0
77,12.5,0.19526342149999998,2343800.0,125.2839303,4.0,0.2175,0.06374211229216417,93953.0
78,9.9,0.19526342149999998,301500.0,2.242794509,11.0,0.21375,0.09192305496889092,95482.0
79,9.5,0.1144098215,2821800.0,98.41591895,82.0,0.2175,0.12489109435963483,92626.0
80,14.24,0.17875461,527800.0,13.2341449,8.0,0.2125,0.11212657765853033,95691.0
81,10.24,0.1144098215,5406300.0,98.41591895,211.0,0.2025,0.12489109435963483,92618.0
82,10.24,0.1144098215,5152300.0,98.41591895,7.0,0.2025,0.12489109435963483,92620.0
83,10.24,0.1144098215,9716400.0,98.41591895,9.0,0.2025,0.12489109435963483,92657.0
84,10.24,0.1144098215,9716400.0,98.41591895,9.0,0.2025,0.12489109435963483,92657.0
85,6.0,0.13895081666666664,2544100.0,98.41591895,96.0,0.2275,0.0,90802.0
86,11.12,0.1144098215,76350.0,1.850682973,5.0,0.2025,0.0,92309.0
87,11.12,0.1144098215,76350.0,1.850682973,5.0,0.2025,0.0,92309.0
88,11.76,0.1144098215,6151300.0,98.41591895,4.0,0.2125,0.12489109435963483,90740.0
89,10.24,0.1144098215,5064000.0,98.41591895,16.0,0.2025,0.12489109435963483,92602.0
90,10.24,0.1144098215,5064000.0,98.41591895,16.0,0.2025,0.12489109435963483,92602.0
91,11.1,0.180508316,1036800.0,22.27587347,16.0,0.2125,0.0,91911.0
92,11.1,0.180508316,1036800.0,22.27587347,16.0,0.2125,0.0,91911.0
93,11.1,0.180508316,446300.0,22.27587347,14.0,0.2075,0.0,92021.0
94,11.1,0.180508316,1279200.0,22.27587347,25.0,0.2075,0.0,92054.0
95,11.1,0.180508316,843100.0,22.27587347,23.0,0.2125,0.0,91950.0
96,11.1,0.180508316,843100.0,22.27587347,23.0,0.2125,0.0,91950.0
97,6.6,0.1144098215,8434900.0,98.41591895,36.0,0.2275,0.0,90803.0
98,6.6,0.1144098215,8434900.0,98.41591895,36.0,0.2275,0.0,90803.0
99,5.0,0.1257225242,354000.0,98.41591895,2.0,0.2125,0.07438067060783989,92860.0
100,12.38,0.19526342149999998,102300.0,6.087859819,4.0,0.1975,0.02841241979742425,93206.0
101,12.38,0.19526342149999998,102300.0,6.087859819,4.0,0.1975,0.02841241979742425,93206.0
102,12.38,0.19526342149999998,102300.0,6.087859819,4.0,0.1975,0.02841241979742425,93206.0
103,12.94,0.17557773633333332,191950.0,3.422110246,2.0,0.2075,0.0,95548.0
104,12.38,0.15483662149999997,207500.0,33.51163594,3.0,0.1975,0.0010374935721325312,93245.0
105,10.24,0.1144098215,3724200.0,98.41591895,3.0,0.2025,0.12489109435963483,92782.0
106,10.24,0.1144098215,3724200.0,98.41591895,3.0,0.2025,0.12489109435963483,92782.0
107,8.76,0.1144098215,362300.0,3.366540988,36.0,0.2125,0.0,92346.0
108,6.24,0.13717375133333332,2187000.0,98.41591895,46.0,0.2175,0.12489109435963483,92868.0
109,6.24,0.13717375133333332,2187000.0,98.41591895,46.0,0.2175,0.12489109435963483,92868.0
110,6.24,0.13717375133333332,2187000.0,98.41591895,46.0,0.2175,0.12489109435963483,92868.0
111,6.24,0.1144098215,1855300.0,98.41591895,13.0,0.2175,0.12489109435963483,92701.0
112,6.24,0.1144098215,1798900.0,98.41591895,5.0,0.2175,0.12489109435963483,92703.0
113,6.24,0.180508316,4149400.0,227.1153202,8.0,0.2025,0.12489109435963483,92672.0
114,6.24,0.180508316,4149400.0,227.1153202,8.0,0.2025,0.12489109435963483,92672.0
115,6.24,0.180508316,4149400.0,227.1153202,8.0,0.2025,0.12489109435963483,92672.0
116,6.24,0.180508316,4149400.0,227.1153202,8.0,0.2025,0.12489109435963483,92672.0
117,6.24,0.180508316,4149400.0,227.1153202,8.0,0.2025,0.12489109435963483,92672.0
118,5.0,0.1144098215,2821800.0,98.41591895,82.0,0.2175,0.12489109435963483,92626.0
119,5.0,0.1144098215,2821800.0,98.41591895,82.0,0.2175,0.12489109435963483,92626.0
120,5.0,0.1144098215,2821800.0,98.41591895,82.0,0.2175,0.12489109435963483,92626.0
121,12.38,0.19526342149999998,376000.0,1.460718582,14.0,0.2085,0.04766335151320714,93711.0
122,12.38,0.19526342149999998,376000.0,1.460718582,14.0,0.2085,0.04766335151320714,93711.0
123,8.76,0.180508316,4789200.0,22.27587347,84.0,0.2025,0.0,92037.0
124,13.76,0.1144098215,934700.0,98.41591895,3.0,0.2275,0.0,91767.0
125,8.76,0.13717375133333332,1599500.0,98.41591895,3.0,0.2125,0.12489109435963483,92841.0
126,8.76,0.13717375133333332,1599500.0,98.41591895,3.0,0.2125,0.12489109435963483,92841.0
