ZIP Code,"Land Value
(1/4 Acre Lot, Standardized)","Land Value
(Per Acre, As-Is)",Land Share of Property Value,Lot Size,Interior Square Feet,Property Value (Standardized),Property Value (As-is)
1001,74600,184200,0.406,19400,1270,245000,202000
1002,114200,194100,0.43,27800,1430,341400,287900
1005,31500,40600,0.225,38370,1160,197400,158500
1007,63200,73500,0.314,43240,1440,252100,231900
1010,53000,63300,0.313,46520,1320,222700,215900
1013,52900,219200,0.313,10170,1260,214900,163400
1020,55500,196700,0.327,12400,1210,225200,171200
1027,75300,157100,0.348,22110,1320,282700,228800
1028,72800,151400,0.36,24080,1440,250600,232200
1030,75700,177000,0.398,20940,1290,250800,213800
1033,64400,83600,0.34,38040,1300,256800,214800
1034,66800,97200,0.352,35560,1260,260700,225500
1035,102000,148800,0.406,33490,1400,328500,281900
1036,61500,79700,0.371,44200,1360,229700,218200
1038,88400,120200,0.386,35870,1390,299900,256600
1039,74500,100600,0.325,35750,1580,281400,253800
1040,45600,164500,0.265,12120,1380,214700,172400
1050,41000,58800,0.287,33750,1250,205300,158900
1053,97100,154600,0.387,29850,1400,321600,273900
1054,57800,57500,0.334,54310,1260,226800,214700
1056,64300,141100,0.352,22150,1310,237700,204000
1057,48300,66300,0.324,40200,1340,201900,188700
1060,140500,463000,0.417,13150,1480,401500,334800
1062,100400,190900,0.398,24430,1340,328800,268700
1069,41400,78500,0.283,26530,1270,199200,168600
1071,45000,65900,0.316,36850,1270,199900,176400
1072,54200,69400,0.335,39170,1030,218000,186300
1073,83600,99600,0.382,42030,1430,271600,251900
1075,69500,146400,0.35,22050,1330,263300,212100
1077,68800,107900,0.351,33460,1350,253300,236400
1080,45800,129800,0.309,16180,1260,198500,156000
1081,50400,77100,0.346,32650,1170,200200,166900
1082,34600,61500,0.231,26300,1320,198400,161000
1083,34000,52800,0.252,31020,1240,181800,149000
1085,69500,144500,0.386,23850,1360,233400,204800
1089,69900,195800,0.388,16590,1330,235500,192300
1095,76200,122800,0.395,33700,1500,248300,240500
1096,55900,71800,0.291,38060,1270,263100,215100
1104,26700,149200,0.186,7030,1220,178300,129900
1106,132800,326100,0.501,19540,1630,315100,292200
1107,29500,138700,0.208,8640,1460,168200,132600
1108,28300,153800,0.194,7310,1480,170900,132800
1109,22400,122400,0.18,7290,1290,155800,113800
1118,36100,152600,0.232,9950,1200,202300,150100
1119,33300,141700,0.224,9910,1140,194400,144300
1128,41100,119400,0.261,15920,1170,214200,167100
1129,40600,135600,0.263,13430,1180,206000,158900
1151,31600,150500,0.23,8530,1250,172700,128000
1201,41400,130700,0.242,14450,1510,212300,179000
1220,33200,94800,0.236,15910,1470,177600,146600
1223,29800,52100,0.184,30910,1320,232500,201100
1225,41900,70000,0.257,32110,1490,214100,200600
1226,47400,114800,0.265,20140,1600,216800,200100
1230,81600,135400,0.326,31830,1540,324000,303600
1235,58200,100400,0.299,29380,1410,248700,226300
1237,39100,74100,0.244,27310,1460,212900,190500
1238,73000,138700,0.362,28090,1500,267500,247000
1240,94400,156600,0.359,33030,1700,318600,330500
1247,27600,70300,0.205,18240,1520,168400,143400
1253,63600,100800,0.262,32820,1390,325700,290400
1257,49600,62100,0.275,49010,1510,257300,254300
1262,133400,224200,0.422,32010,1590,396500,390200
1266,75800,109500,0.34,40220,1570,307200,297500
1267,77800,149500,0.338,27010,1600,287800,274500
1301,45500,112100,0.291,18650,1190,211600,165100
1331,24300,45600,0.211,24920,1060,172600,123800
1337,38800,45300,0.261,44960,1120,207000,179300
1344,37200,61000,0.26,29790,1130,191000,160500
1351,52900,81200,0.319,32090,1160,221800,187900
1360,36500,46500,0.233,40270,1200,209300,185100
1364,28600,50100,0.23,27470,1120,166700,137600
1370,55400,85200,0.294,31300,1300,241400,208300
1373,72700,106800,0.347,34310,1240,273100,242400
1375,67400,90800,0.322,38080,1300,261800,246600
1376,42500,127500,0.279,14840,1140,209000,155600
1420,39700,118800,0.255,14690,1240,206400,157400
1430,42500,64100,0.266,31950,1090,232200,177100
1431,34100,36600,0.242,52620,1240,203900,182600
1432,99500,219400,0.396,21630,1360,309600,275200
1436,29800,44800,0.208,32380,1270,193900,160400
1440,34100,85800,0.237,17960,1150,200200,149400
1450,129000,157600,0.437,44980,1700,349800,372600
1451,176500,155500,0.494,60320,1710,420600,435500
1452,41400,38100,0.261,56720,1190,227200,190100
1453,64200,162100,0.328,18030,1230,260900,204700
1460,140900,223900,0.437,32300,1510,392000,380100
1462,76300,104300,0.375,35980,1250,275200,229600
1463,81100,101000,0.364,43110,1490,281400,274400
1464,73300,109500,0.326,34790,1470,278100,268300
1468,31800,39000,0.217,41110,1150,204000,169500
1469,60600,104000,0.319,29890,1300,257100,223400
1473,61100,79500,0.314,37970,1240,257600,220600
1474,54000,72200,0.296,40080,1350,244800,224300
1475,34200,52700,0.244,31020,1150,196500,153500
1501,71000,157600,0.357,20800,1140,279000,210700
1503,110800,116800,0.431,48940,1380,329900,304300
1504,85100,151500,0.405,26440,1210,283100,226700
1505,112600,146800,0.423,38410,1490,322700,306100
1506,40800,55900,0.258,35790,1160,226500,177700
1507,57600,66200,0.28,43930,1370,263000,238200
1510,69600,211500,0.337,14580,1290,263600,210100
1515,47800,72900,0.277,31790,1110,247600,192000
1516,66900,106500,0.333,30220,1200,277800,221800
1518,76000,105700,0.328,35330,1420,282100,261200
1519,113300,168000,0.384,33130,1570,341400,333100
1520,83700,161800,0.351,24590,1370,298400,259900
1521,64100,132500,0.33,22410,1120,267300,206700
1522,78700,108400,0.372,36120,1310,279400,241700
1523,92400,138700,0.405,32490,1270,305400,255700
1524,53900,84700,0.294,30580,1250,248500,202400
1527,74600,149400,0.347,23410,1220,287800,231300
1529,69800,90500,0.348,38510,1340,263500,229500
1532,145700,241900,0.474,29090,1420,383600,340900
1534,85100,130500,0.359,31910,1410,289200,266300
1535,40900,63300,0.27,31090,1160,217300,167400
1536,107000,189000,0.394,27180,1420,332700,299400
1537,55200,81700,0.31,33220,1200,247400,201200
1540,56100,95200,0.314,28140,1130,254500,196000
1541,76100,68400,0.39,58860,1360,265500,237100
1542,51400,67000,0.285,38300,1240,246800,206900
1543,56600,76300,0.278,36440,1320,257400,230000
1545,151200,335600,0.456,20960,1490,390100,354200
1550,31500,73700,0.216,19480,1230,194900,152400
1560,111000,217900,0.377,24020,1550,329300,318500
1562,46200,77700,0.269,28180,1160,241700,187000
1564,89100,102600,0.4,44350,1350,293400,261100
1566,59300,85200,0.287,34270,1320,273400,233900
1568,106500,125500,0.391,42900,1540,326900,315800
1569,78700,104500,0.366,37160,1320,280200,243800
1570,65500,166800,0.322,17500,1240,263200,208300
