Fuel Type Code,Station Name,City,Street Address,State,ZIP,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Access Code,Facility Type,L1 $/Hr,L1 flat,L1 $/kWh,L2 $/hr,L2 flat,L2 $/kWh,DCFC $/Hr,DCFC flat,DCFC $/kWh,,
ELEC,Placer County Community Development Resource Center,Auburn,3091 County Center Dr,CA,95603,3,,ChargePoint Network,http://www.chargepoint.com/,public,MUNI_GOV,,,,1.5,,,,,,0,1.5
ELEC,LINCOLN CITY TAFT DUAL 1,Lincoln City,1226 SW 50th St,OR,97367,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,OUC RELIABLE 01,Orlando,100 W Anderson Street,FL,32801,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,MGE WILLY ST E,Madison,1221 Williamson St,WI,53703,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,LBCC  LBCC DUAL 2,Albany,Ellingson Rd SW,OR,97321,2,,ChargePoint Network,http://www.chargepoint.com/,public,,1.19,,,,,,,,,0,0
ELEC,TUCSON RENTAL OFF NETWORK 1,Tucson,9855 E Speedway Blvd,AZ,85748,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,ARUNDEL MILLS  ELEMENT HOTELS,Hanover,7522 Teague Rd,MD,21076,,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,,
ELEC,BROOKFIELD PROP 300 CLAY STAT1,Houston,300 Clay St,TX,77002,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,INTERPARK 50 EAST OHIO 2,Chicago,50 E Ohio St,IL,60611,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,GATEWAYKENOSHA  HORIZON MAINLOT,Kenosha,4940 88th Avenue,WI,53144,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,MGE GREENWAY STAT,Middleton,1611 Aspen Commons,WI,53562,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,OUC OC BARNETT 1,Orlando,4801 W Colonial Dr,FL,32808,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,OUC OC MARKS ST 01,Orlando,99 E Marks St,FL,32803,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,OUC OUC OCCC 03,Orlando,9899 International Drive,FL,32819,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,OUC OC W LIBRARY 01,Orlando,5151 Raleigh St,FL,32811,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,OUC OC MED EXAM 01,Orlando,2350 E Michigan Street,FL,32806,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,HILLSBORO OR MAIN ST 1,Hillsboro,150 E Main St,OR,97123,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,1,,,,,,0,1
ELEC,HILLSBORO OR EV-8,Hillsboro,253 SE 8th Ave,OR,97123,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,1,,,,,,0,1
ELEC,BELLEVUE BELLEVUE CH 1,Bellevue,450 110th Ave NE,WA,98004,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,JCCC MTC,Overland Park,12345 College Blvd,KS,66210,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,KING COUNTY DOT ISSAQUAH P&R 2,Issaquah,1755 Highlands Dr NE,WA,98027,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,2,,,,,0,2
ELEC,SEAPORT GARAGE EAST GARAGE2 P1,Boston,1 Seaport Ln,MA,2210,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,MCDONALD SWLA CHARGE AT MCD 1,Lake Charles,625 E Prien Lake Rd,LA,70601,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,UWB CASCADIA CC NORTH LEVEL 3 N,Bothell,18500 Campus Way NE,WA,98011,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,CITY OF REDMOND CITY HALL DUAL,Redmond,15670 NE 85th St,WA,98052,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,CITY OF REDMOND MOC #1 PUBLIC,Redmond,18080 NE 76th St,WA,98052,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,WILLOWS LODGE WILLOWS #2,Woodinville,14580 NE 145th St,WA,98072,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,MGE PINNACLE HEALTH,Fitchburg,5973 Executive Dr,WI,53719,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,MGE WILLY ST W,Middleton,6825 University Ave,WI,53562,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,SCIENCE MUSEUM SCIENCE MUSEUM1,Richmond,2500 W Broad St,VA,23220,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,0.5,,,,,,0,0.5
ELEC,NV ENERGY 6100 NEIL RD 4,Reno,6100 Neil Rd,NV,89511,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,PIE AE OTC 3FL PKGSTA3,Austin,505 Barton Springs Rd,TX,78704,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2,,,,,,0,2
ELEC,KEY CENTER KEY CENTER 6,Bellevue,601 108th Ave NE,WA,98004,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,KRC SKYLINE SKYLINE #1,Bellevue,10900 NE 4th St,WA,98004,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
